Date,Open,High,Low,Close,Volume,Market Cap
"Aug 20, 2016",576.08,582.82,575.46,581.7,45301400,9114500000
"Aug 19, 2016",574.34,578.24,574.18,575.63,50631600,9085820000
"Aug 18, 2016",573.71,577.79,573.43,574.32,59896600,9074760000
"Aug 17, 2016",577.76,580.89,571.43,573.22,54443000,9138030000
"Aug 16, 2016",567.24,581.74,566.72,577.44,58405200,8970770000
"Aug 15, 2016",570.49,573.58,563.24,567.24,57262300,9021180000
"Aug 14, 2016",585.59,585.67,564.78,570.47,60851100,9258730000
"Aug 13, 2016",587.36,589.77,584.98,585.59,43563000,9285530000
"Aug 12, 2016",588.8,589.91,583.81,587.56,69218000,9307250000
"Aug 11, 2016",592.12,597.54,589.12,589.12,74514400,9358770000
"Aug 10, 2016",587.65,599.98,586.37,592.1,102905000,9286960000
"Aug 09, 2016",591.04,591.09,584.79,587.8,92228100,9339660000
"Aug 08, 2016",592.74,592.99,588.05,591.05,61194100,9365440000
"Aug 07, 2016",587.77,597.51,586.82,592.69,82398400,9285940000
"Aug 06, 2016",575.03,588.4,569.47,587.78,80797300,9083510000
"Aug 05, 2016",578.28,578.28,569.98,575.04,66127900,9133690000
"Aug 04, 2016",566.33,579.5,565.78,578.29,125292000,8943870000
"Aug 03, 2016",548.66,573.36,541.55,566.36,207982000,8663670000
"Aug 02, 2016",606.4,612.85,531.33,547.47,330933000,9574320000
"Aug 01, 2016",624.6,626.12,605.88,606.27,121887000,9860620000
"Jul 31, 2016",655.1,655.28,624.37,624.68,110818000,10340900000
"Jul 30, 2016",657.01,658.22,654.21,655.05,38456100,10370100000
"Jul 29, 2016",655.11,657.8,654.79,656.99,60703500,10338900000
"Jul 28, 2016",654.49,657.6,654.49,655.03,86428400,10328100000
"Jul 27, 2016",651.63,657.46,648.45,654.35,147461000,10281900000
"Jul 26, 2016",654.23,656.23,645.88,651.78,225135000,10321900000
"Jul 25, 2016",661.26,661.83,653.39,654.1,78176500,10431900000
"Jul 24, 2016",655.41,663.11,652.79,661.28,118184000,10338600000
"Jul 23, 2016",650.73,656.37,648.52,655.56,69532200,10263700000
